num_article;doi;term
5;10.1128/msystems.00185-24;gut microbiota dysbiosis
5;10.1128/msystems.00185-24;acute ischemic stroke
5;10.1128/msystems.00185-24;AIS
5;10.1128/msystems.00185-24;COVID-19 infection
5;10.1128/msystems.00185-24;16S rRNA gene sequencing
5;10.1128/msystems.00185-24;gut microbial community
5;10.1128/msystems.00185-24;gut dysbiosis
5;10.1128/msystems.00185-24;Enterobacteriaceae
5;10.1128/msystems.00185-24;Ruminococcaceae
5;10.1128/msystems.00185-24;Lachnospiraceae
5;10.1128/msystems.00185-24;bacterial diversity
5;10.1128/msystems.00185-24;gut-lung axis
5;10.1128/msystems.00185-24;gut-brain axis
6;10.1016/j.jtcme.2024.03.011;gut-brain axis
6;10.1016/j.jtcme.2024.03.011;anxiety
6;10.1016/j.jtcme.2024.03.011;depression
6;10.1016/j.jtcme.2024.03.011;probiotics
6;10.1016/j.jtcme.2024.03.011;depressive behaviour
6;10.1016/j.jtcme.2024.03.011;postbiotics
6;10.1016/j.jtcme.2024.03.011;antidepressant
6;10.1016/j.jtcme.2024.03.011;anti-anxiety drugs
6;10.1016/j.jtcme.2024.03.011;anxiety disorders
6;10.1016/j.jtcme.2024.03.011;mental illnesses
6;10.1016/j.jtcme.2024.03.011;cognitive dysfunction
6;10.1016/j.jtcme.2024.03.011;probiotic supplementation
6;10.1016/j.jtcme.2024.03.011;mental health
6;10.1016/j.jtcme.2024.03.011;gut microbiota
6;10.1016/j.jtcme.2024.03.011;mood regulation
6;10.1016/j.jtcme.2024.03.011;mental well-being
8;10.1016/j.pbb.2024.173736;gut-brain axis
8;10.1016/j.pbb.2024.173736;gut microbiota
8;10.1016/j.pbb.2024.173736;microbiome-derived metabolites
8;10.1016/j.pbb.2024.173736;depression
8;10.1016/j.pbb.2024.173736;arketamine
8;10.1016/j.pbb.2024.173736;chronic restrain stress
8;10.1016/j.pbb.2024.173736;CRS
8;10.1016/j.pbb.2024.173736;CRS-induced body weight loss
8;10.1016/j.pbb.2024.173736;forced swimming test
8;10.1016/j.pbb.2024.173736;sucrose preference test
8;10.1016/j.pbb.2024.173736;synaptic proteins
8;10.1016/j.pbb.2024.173736;GluA1
8;10.1016/j.pbb.2024.173736;PSD-95
8;10.1016/j.pbb.2024.173736;prefrontal cortex
8;10.1016/j.pbb.2024.173736;PFC
8;10.1016/j.pbb.2024.173736;Gut microbiota analysis
8;10.1016/j.pbb.2024.173736;untargeted metabolomics analysis
8;10.1016/j.pbb.2024.173736;L-leucine
8;10.1016/j.pbb.2024.173736;N-acetyl-l-glutamine
8;10.1016/j.pbb.2024.173736;2-(2,4-dichlorophenyl)-3-[4-(dimethylamino)phenyl]acrylonitrile
8;10.1016/j.pbb.2024.173736;L-threonine amide
8;10.1016/j.pbb.2024.173736;blood metabolites
8;10.1016/j.pbb.2024.173736;prophylactic effects
11;10.1080/10408363.2024.2331477;intestinal microbiome
11;10.1080/10408363.2024.2331477;iron deficiency
11;10.1080/10408363.2024.2331477;intestinal iron absorption
11;10.1080/10408363.2024.2331477;oral iron supplementation
11;10.1080/10408363.2024.2331477;hepatic hepcidin
11;10.1080/10408363.2024.2331477;gut microbiota composition
11;10.1080/10408363.2024.2331477;pathogenic bacteria
11;10.1080/10408363.2024.2331477;metabolic functions
11;10.1080/10408363.2024.2331477;immune functions
11;10.1080/10408363.2024.2331477;bifidobacteria
11;10.1080/10408363.2024.2331477;lactobacilli
11;10.1080/10408363.2024.2331477;Dysbiosis
11;10.1080/10408363.2024.2331477;inflammatory bowel disease
11;10.1080/10408363.2024.2331477;metabolic disturbances
11;10.1080/10408363.2024.2331477;mental health issues
11;10.1080/10408363.2024.2331477;gut microbiome
17;10.1021/acs.jafc.3c07599;Tryptophan Metabolism
17;10.1021/acs.jafc.3c07599;Brain-Gut Axis
17;10.1021/acs.jafc.3c07599;Tryptophan Hydroxylase
17;10.1021/acs.jafc.3c07599;Intestinal Microenvironment
17;10.1021/acs.jafc.3c07599;Depressive-Like Behavior
17;10.1021/acs.jafc.3c07599;Depression
17;10.1021/acs.jafc.3c07599;neuropsychiatric disease
17;10.1021/acs.jafc.3c07599;ginsenoside Rk3
17;10.1021/acs.jafc.3c07599;antidepressant effect
17;10.1021/acs.jafc.3c07599;hypothalamus-pituitary-adrenal axis
17;10.1021/acs.jafc.3c07599;neuronal damage
17;10.1021/acs.jafc.3c07599;hippocampus
17;10.1021/acs.jafc.3c07599;prefrontal cortex
17;10.1021/acs.jafc.3c07599;tryptophan hydroxylase
17;10.1021/acs.jafc.3c07599;neuronal apoptosis
17;10.1021/acs.jafc.3c07599;synaptic structural damage
17;10.1021/acs.jafc.3c07599;gut microbiota
17;10.1021/acs.jafc.3c07599;intestinal tryptophan metabolism
17;10.1021/acs.jafc.3c07599;intestinal barrier damage
17;10.1021/acs.jafc.3c07599;tryptophan metabolic cycle
18;10.1038/s41538-024-00253-2;Gamma-aminobutyric acid
18;10.1038/s41538-024-00253-2;GABA
18;10.1038/s41538-024-00253-2;postbiotic mediator
18;10.1038/s41538-024-00253-2;gut-brain axis
18;10.1038/s41538-024-00253-2;central nervous system
18;10.1038/s41538-024-00253-2;inhibitory neurotransmitter
18;10.1038/s41538-024-00253-2;neurological diseases
18;10.1038/s41538-024-00253-2;Alzheimer's
18;10.1038/s41538-024-00253-2;Parkinson's disease
18;10.1038/s41538-024-00253-2;psychological disorders
18;10.1038/s41538-024-00253-2;anxiety
18;10.1038/s41538-024-00253-2;depression
18;10.1038/s41538-024-00253-2;stress
18;10.1038/s41538-024-00253-2;blood-brain barrier
18;10.1038/s41538-024-00253-2;circulating GABA
18;10.1038/s41538-024-00253-2;gut microbiota composition
18;10.1038/s41538-024-00253-2;GABA-producing microorganisms
18;10.1038/s41538-024-00253-2;gut-GABA production
18;10.1038/s41538-024-00253-2;autism spectrum disorder
