concept,definition
Alpha-synuclein,"protein that is encoded by the SNCA gene, localized predominantly in presynaptic terminals, and characterized by its role in synaptic vesicle dynamics and its tendency to misfold into aggregates associated with neurodegenerative disorders"
Alzheimer's,"n-methyl-D-aspartates receptor (NMDAR) that is activated by the excitatory amino acid agonist, NMDA"
Antrodia camphorata,"fungus that produces bioactive metabolites, exhibits neuroprotective and anti-inflammatory properties, and is associated with modulation of the gut-microbiome-brain axis in the context of neurological disorder prevention"
Cox regression,"statistical method that assesses the effect of covariates on the hazard rate while accommodating censored data, without requiring specification of the baseline survival distribution"
Disorders,"diseases that arises from one or more abnormalities in physiological, psychological, or developmental processes, leading to clinically significant impairment or distress"
Gastrointestinal infections,"infectious diseases characterized by pathogen invasion of the stomach and intestines, leading to inflammation and dysfunction, typically transmitted via ingestion of contaminated substances"
Gut microbiome,"microbiome that consists of the microbial communities, their genetic material, and interacting environmental factors within the gastrointestinal tract, functioning in symbiotic coordination with the host organism"
Intestinal Microbiota,"microbiota that inhabits the intestinal tract, consisting of diverse microorganisms engaged in bidirectional interactions with the host and contributing to digestive, immune, and metabolic functions"
MCI,cognitive disorder characterized by objective impairment in cognitive performance with preserved capacity for independent daily functioning
Neurodegenerative diseases,"centrals nervous system disease characterized by progressive structural or functional deterioration of neurons, leading to cognitive decline, motor deficits, and associated with abnormal protein aggregation in neural tissue"
Parkinson's,neurodegenerative disorders characterized by progressive loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies composed of alpha-synuclein aggregates
Parkinson's disease,neurodegenerative disorder characterized by progressive loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies composed of alpha-synuclein aggregates
Parkinsonism,parkinsonism is a biomedical concept in the gut-brain domain
Probiotics,"live microorganisms that, when administered in sufficient quantities, provides a health benefit to the host through modulation of microbial balance or immune function"
ROS/RNS,"reactives chemical species derived from oxygen or nitrogen that participate in oxidative reactions and can modify lipids, proteins, and nucleic acids"
SCFAs,"metabolites produced by bacterial fermentation of dietary fibers, characterized by a short aliphatic carbon chain and involvement in regulating intestinal homeostasis and host inflammatory, emotional, and cognitive functions"
biomarker,"measurable indicator that reflects a physiological or pathological state, used to detect or monitor disease processes, therapeutic responses, or biological conditions in clinical and research settings"
body,"anatomical structure that comprises organized tissues and organ systems, maintaining physiological functions and structural integrity in a living organism"
brain-gut axis,"communications system characterized by bidirectional neural, hormonal, and microbial signaling between the central nervous system and the gastrointestinal tract"
brains,"organs of the central nervous system that integrates sensory information, coordinates motor responses, and supports higher cognitive functions through specialized neural networks and regional organization"
clinical trials,researches study that prospectively assigns human participants to interventions to evaluate their effects on health outcomes under controlled conditions.
cohort studies,observationals study that follows a population sharing a defined characteristic over time to evaluate the incidence or development of outcomes
confidence intervals,confidences intervals is a biomedical concept in the gut-brain domain
diagnoses,"clinical assessments that identifies a pathological condition through evaluation of symptoms, signs, and diagnostic evidence"
diet,"food intake characterized by a habitual or intentional pattern of consuming specific types and quantities of nutrients, modulated by environmental, cultural, or health-related factors, and capable of influencing host physiology and microbial metabolism"
drugs,"substances that is used to diagnose, treat, or prevent disease or to alter physiological function for therapeutic benefit"
dysbiosis,"microbial states characterized by disruption in the composition, diversity, and functional balance of the gut microbiota, often involving altered ratios of dominant bacterial taxa and associated with pathological conditions"
fecal transplantation,fecal transplantation is a biomedical concept in the gut-brain domain
follow-up,"assessment conducted at a later time to monitor health status, disease progression, or treatment response, typically after an intervention and at scheduled intervals"
gastrointestinal,"anatomical system that comprises the stomach, small intestine, and large intestine and is responsible for the digestion of food, absorption of nutrients, and elimination of waste"
gastrointestinal tract,"anatomical system consisting of the continuous hollow tube from the oral cavity to the anal canal, including associated organs, that functions in the digestion of food, absorption of nutrients, and elimination of waste"
gut dysbiosis,diseases is a condition that is a disposition (i) to undergo pathological processes that (ii) exists in an organism
gut microbiome,"microbiome that consists of the microorganisms and their genomic elements inhabiting the gastrointestinal tract, participating in symbiotic and dynamic interactions with the host organism"
gut-brain axis,gut-brains axis is a biomedical concept in the gut-brain domain
guts,"gastrointestinal tracts that comprises the digestive organs from the stomach to the colon, lined with epithelial tissue, involved in nutrient processing, waste excretion, and hosting a diverse microbial community essential for metabolic and immune functions."
hazard ratios,"statisticals measure that compares the instantaneous risk of an event occurring between two groups over time, derived from proportional hazards models and used in time-to-event analysis"
homeostasis,physiological states characterized by the active maintenance of stable internal conditions necessary for cellular function and organismal survival through dynamic feedback mechanisms
infections,"diseases resulting from invasion and proliferation of pathogenic microorganisms within a host, leading to tissue injury, immune response, and potential transmission to other organisms"
metabolites,"molecules produced during the chemical processes of nutrient breakdown or synthesis in living systems, including intermediates and end products that participate in or result from metabolic activity"
microbiota,"microbial community that inhabits a host organism, consisting of bacteria, fungi, viruses, and archaea, and interacting dynamically with host physiological processes to influence health and disease"
microglia,"glial cell that functions as a resident immune cell of the central nervous system, derived from myeloid progenitors and involved in surveillance, neuroinflammatory responses, and synaptic remodeling"
mild cognitive impairment,mild cognitive impairment is a biomedical concept in the gut-brain domain
neurodegenerative diseases,"centrals nervous system disease characterized by progressive structural or functional deterioration of neurons, leading to cognitive decline, motor deficits, and neuronal damage, often of multifactorial origin and associated with limited therapeutic options"
neuroinflammation,"inflammation characterized by activation of central nervous system glial cells and the release of pro-inflammatory mediators in response to neural injury, infection, or systemic inflammatory stimuli"
neurological disorders,"diseases that affects the central or peripheral nervous system, characterized by multifactorial disruptions in neural cellular systems and leading to progressive impairment of neurological function and significant disability"
neurological symptoms,symptoms characterized by abnormal physiological or cognitive manifestations resulting from dysfunction of the central or peripheral nervous system
neurons,"cells that is electrically excitable, characterized by the presence of dendrites and an axon, and specialized for transmitting and processing information through electrical and chemical signaling in the nervous system."
organism,"physical object that maintains homeostasis, undergoes metabolism, is capable of growth and reproduction, responds to stimuli, and is composed of one or more cells organized in a functionally integrated manner."
oxidative stress,physiological stress characterized by an excess of reactive oxygen and nitrogen species due to an imbalance between oxidant production and antioxidant defense mechanisms
pathology,disease that is characterized by structural or functional abnormalities in tissues or organs resulting from underlying pathological processes
patients,"individuals receiving medical care or evaluation due to the presence of disease, symptoms, or health concerns, and undergoing clinical assessment or intervention"
pharmacology,"biomedical science that studies the interactions between exogenous chemical substances and biological systems, including the mechanisms of action, therapeutic applications, and metabolic fate of drugs."
reactive oxygen and nitrogen species,reactives oxygen and nitrogen species is a biomedical concept in the gut-brain domain
respiratory infections,"infectious diseases characterized by pathogen invasion and inflammation of the airways or lung tissue, typically transmitted through respiratory droplets or aerosols"
short-chain fatty acids,short-chains fatty acids is a biomedical concept in the gut-brain domain
stroke,"cerebrovascular disease that involves sudden interruption of blood supply to the brain, leading to oxygen deprivation and consequent neuronal damage or death"
symptoms,"clinical manifestations characterized by subjective evidence of disease perceived by a patient, arising from physiological disturbance or pathological process"
therapies,"medical interventions characterized by the application of agents or procedures intended to mitigate disease manifestations, modulate pathophysiological processes, or improve health outcomes in affected individuals."
treat,"medical intervention that reduces symptom severity, modulates disease activity, or enhances physiological function in the context of a pathological condition"
treatment,"medical intervention that is administered to alleviate symptoms, modify disease course, or restore physiological function in individuals with a diagnosed condition"
